Name,Profession,KnownMovie,About
" Eddie Murphy
",Actor,The,"
    Edward Regan Murphy was born April 3, 1961 in Brooklyn, New York, to Lillian Lynch (born: Lillian Laney), a telephone operator, and Charles Edward Murphy, a transit police officer who was also an amateur comedian and actor. After his father died, his mother married Vernon Lynch, a foreman at a ...                 "
" Shari Headley
",Actress,Coming,"
    Shari Headley was born on July 15, 1964 in Queens, New York City, New York, USA. She is an actress, known for Coming 2 America (2021), On Becoming a God in Central Florida (2019) and Goosebumps 2: Haunted Halloween (2018). She was previously married to Christopher Martin.                 "
" Antonia Gentry
",Actress,Ginny,"
    Antonia Gentry was born in Atlanta, Georgia and briefly left to have a stint at Davidson Fine Arts in Augusta, Georgia for middle and high school. Her first play performance was an original work by her mother Sandra, who has a knack for poetry and art. Attending a fine-arts school and fueled by her...                 "
" Nomzamo Mbatha
",Actress,Coming,"
    Nomzamo Mbatha is an actress, known for Coming 2 America (2021), Isibaya (2014) and All About Love (2017).                 "
" Rosamund Pike
",Actress,Gone,"
    Born on January 27, 1979 in London, England, actress Rosamund Mary Elizabeth Pike is the only child of a classical violinist mother, Caroline (Friend), and an opera singer father, Julian Pike. Due to her parents' work, she spent her early childhood traveling around Europe. Pike attended Badminton ...                 "
" Lynn Collins
",Actress,X-Men,"
    Viola Lynn Collins was born in Houston, Texas, to Patricia Lynn (Campbell) and Phillip Dean Collins. She attended the Juilliard School for Drama and had a great deal of Shakespearean training before being cast as ""Portia"" in ""The Merchant of Venice"". She also played ""Ophelia"" in a production of ""...                 "
" Jennifer Love Hewitt
",Actress,I,"
    Jennifer Love Hewitt was born in Waco, Texas, to Patricia Mae (Shipp), a speech-language pathologist, and Herbert Daniel Hewitt, a medical technician. She has English, Italian, French, Scottish, and German ancestry. She got her first name from her older brother Todd Daniel Hewitt (b. November 8, ...                 "
" Bella Murphy
",Actress,Coming,"
    Bella Murphy is an actress, known for Coming 2 America (2021), Entertainment Tonight (1981) and Access Hollywood (1996).                 "
" Olivia Wilde
",Actress,Tron,"
    Actress and activist Olivia Wilde is a modern day renaissance woman, starring in many acclaimed film productions, while simultaneously giving back to the community.She was born on March 10, 1984 in New York City. Her parents are Leslie Cockburn (née Leslie Corkill Redlich) and Andrew Cockburn. Her ...                 "
" Awkwafina
",Actress,Ocean's,"
    Nora Lum, known professionally as Awkwafina, is an American actress and rapper. She has played supporting roles in the comedy films Ocean's 8 and Crazy Rich Asians (2018), and her leading role in the comedy-drama The Farewell (2019) earned her a Golden Globe Award for Best Actress nomination.She ...                 "
" Anya Taylor-Joy
",Actress,The,"
    Anya Josephine Marie Taylor-Joy (born 16 April 1996) is a Florida-born Argentine-British actress. She is best known for her roles as Thomasin in the period horror film The VVitch: A New-England Folktale (2015), as Casey Cooke in the horror-thriller Split (2016), and as Lily in the black comedy ...                 "
" Milana Vayntrub
",Actress,This,"
    Milana Vayntrub is an Uzbekistan-born American actress, writer and stand-up comedian. She began her career making YouTube videos amounting over 11 million views, then turned her web content into an MTV pilot. In 2016 is was recognized by Adweek on the cover of their Creative 100 issue for her ...                 "
" Soleil Moon Frye
",Actress,Punky,"
    Soleil Moon Frye began acting at the age of two, after seeing her father, veteran actor Virgil Frye, and brother, Meeno Peluce, on TV. Her father got her an agent, Herb Tannen & Associates in Hollywood, and her career soon took off. Her mother, Sondra Peluce, became her manager. At age eight, she ...                 "
" Tom Holland
",Actor,Spider-Man:,"
    Thomas Stanley Holland was born in Kingston-upon-Thames, Surrey, to Nicola Elizabeth (Frost), a photographer, and Dominic Holland (Dominic Anthony Holland), who is a comedian and author. His paternal grandparents were from the Isle of Man and Ireland, respectively. He lives with his parents and ...                 "
" Eiza González
",Actress,Baby,"
    Eiza González Reyna is a Mexican actress and singer. She was born on January 30, 1990 in Mexico City, Mexico, to Carlos González and Glenda Reyna. Her mother is a yesteryear Mexican model. She has one elder brother, Yulen. She lost her father in a motorcycle accident when she was just 12. Later in ...                 "
" Juno Temple
",Actress,Atonement,"
    Juno Violet Temple was born in London, England, into a showbiz family, the daughter of producer Amanda Temple and film director Julien Temple. She was named 'Juno' after her parents took a visit to the Grand Canyon during pregnancy, and found they were standing on a butte of Cape Final known as ...                 "
" Jodie Comer
",Actress,Killing,"
    Jodie Comer was born on March 11, 1993 in Liverpool, Merseyside, England. She is an actress and producer, known for Killing Eve (2018), Star Wars: Episode IX - The Rise of Skywalker (2019) and Free Guy (2021).                 "
" Ana de Armas
",Actress,Blade,"
    Ana de Armas was born in Cuba on April 30, 1988. At the age of 14, she began her studies at the National Theatre School of Havana, where she graduated after 4 years. At the age of 16, she made her first film, Una rosa de Francia (2006), directed by Manuel Gutiérrez Aragón. A few titles came after ...                 "
" Olga Kurylenko
",Actress,Oblivion,"
    Olga Kurylenko, a Ukrainian-born actress and model, went from sharing a cramped flat with her aunt, uncle, grandparents and cousin to starring as a Bond girl opposite Daniel Craig.She was born Olga Konstantinovna Kurylenko on November 14, 1979, in Berdyansk, Ukraine, Soviet Union. Her mother, ...                 "
" Frank Grillo
",Actor,The,"
    The oldest of three children, Frank Grillo was born in New York City, to an Italian-American family. He grew up in upstate New York, and got his first taste of acting in high school where he was in many plays. Frank was also a gifted athlete and his dream was to play sports professionally. Frank ...                 "
" Evan Peters
",Actor,X-Men:,"
    Evan Peters was born in 1987 in St. Louis, Missouri to Phil and Julie Peters. When his father's job was transferred, the family moved to Grand Blanc, Michigan. There, Evan began taking acting classes and at age 15, he moved with his mother to Los Angeles in hopes of pursuing a career in the ...                 "
" Felix Mallard
",Actor,Neighbours,"
    Felix Mallard is an actor, known for Neighbours (1985), All the Bright Places (2020) and Neighbours vs. Time Travel (2017).                 "
" Josie Totah
",Actress,Saved,"
    Josie Totah is an immensely talented actor, writer and producer with a gift for bringing dynamic characters to life. As she fearlessly evolves her body of work with each new project, Totah is fast proving to be one of Hollywood's most engaging and sought after young talents. Totah has been ...                 "
" Sara Waisglass
",Actress,Ginny,"
    Sara Waisglass is an actress and developing screenwriter who has spent well over ten years honing her craft in the business of filmmaking. Sara was born on July 3, 1998 in Toronto, Ontario, Canada. Her career began at the ripe age of seven when she landed the role of Jordy Cooper in Shaftesbury's ""...                 "
" Alexander Skarsgård
",Actor,The,"
    Alexander Johan Hjalmar Skarsgård was born in Stockholm, Sweden and is the eldest son of famed actor Stellan Skarsgård. Among his siblings are actors Gustaf Skarsgård, Bill Skarsgård, and Valter Skarsgård. For most of his formative years, his father was an acclaimed actor in Europe but had not yet ...                 "
" Jennifer Connelly
",Actress,A,"
    Jennifer Connelly was born in the Catskill Mountains, New York, to Ilene (Schuman), a dealer of antiques, and Gerard Connelly, a clothing manufacturer. Her father had Irish and Norwegian ancestry, and her mother was from a Jewish immigrant family. Jennifer grew up in Brooklyn Heights, just across ...                 "
" Paget Brewster
",Actress,Criminal,"
    Paget Valerie Brewster is an American actress, voice actress, and singer. She was first recognized for her recurring role as Kathy on the fourth season of the NBC sitcom Friends. Her breakthrough role came as Supervisory Special Agent Emily Prentiss on the crime drama Criminal Minds, on which she ...                 "
" Chloë Grace Moretz
",Actress,Let,"
    Chloë Grace Moretz was born in Atlanta, Georgia, to Teri (Duke), a nurse, and McCoy Lee Moretz, a plastic surgeon. She has four brothers, all older, including actor Trevor Duke-Moretz. Her ancestry is mostly German and English.Chloë's first two appearances were as Violet in two episodes of the ...                 "
" Lily James
",Actress,Cinderella,"
    Lily James was born Lily Chloe Ninette Thomson in Esher, Surrey, to Ninette (Mantle), an actress, and Jamie Thomson, an actor and musician. Her grandmother, Helen Horton, was an American actress. She began her education at Arts Educational School in Tring and subsequently went on to study acting at...                 "
" Kat Dennings
",Actress,Nick,"
    Kat Dennings was born Katherine Victoria Litwack in Bryn Mawr, Pennsylvania, near Philadelphia, to Ellen (Schatz), a speech therapist and poet, and Gerald Litwack, a molecular pharmacologist. She is the youngest of five children. Her family is of Russian Jewish descent. Kat was predominantly ...                 "
" Vanessa Kirby
",Actress,The,"
    Vanessa Kirby is an English stage, TV, and film actress. From 2016 to 2018, Kirby portrayed Princess Margaret in Peter Morgan's Netflix series The Crown, for which she won the BAFTA Award for Best Actress in a Supporting Role in a Television Series in 2018. She starred as Estella in the BBC ...                 "
" Tom Bateman
",Actor,Murder,"
    Tom was born in 1989, to two teachers, one of fourteen children and has a twin brother. Brought up in Jericho in Oxford he attended Cherwell School before joining the National Youth Theatre and enrolling at the London Academy of Music and Dramatic Art, where he was awarded the Leverhulme ...                 "
" Madge Sinclair
",Actress,Coming,"
    Madge Sinclair was born Madge Dorita Walters on April 28, 1938 in Kingston, Jamaica, married young and had two sons. Madge worked as a teacher in Jamaica until she was 30. She left her two boys with their father and moved in 1968 to New York City to be an actress.She began modeling and later acted ...                 "
" Garcelle Beauvais
",Actress,Bad,"
    Named one of People Magazine's highly-coveted 50 Most Beautiful in 2014, Haitian-born actress Garcelle Beauvais immigrated to the United States at the age of seven with her mother and sisters, and has since charmed audiences with her dramatic and comedic abilities. A seasoned actress, Garcelle ...                 "
" Jonathan Tucker
",Actor,The,"
    Jonathan is a film and television actor born in Boston, Massachusetts, May 31, 1982. While still in third grade, he was a part of a ballet production of ""The Nutcracker."" After High School he earned admittance to Columbia University in New York City, but instead elected to pursue his acting career....                 "
" Brittany Snow
",Actress,Pitch,"
    Brittany Anne Snow (born March 9, 1986) is an American actress and singer. She began her career as Susan ""Daisy"" Lemay on the CBS series The Guiding Light (1952) for which she won a Young Artist Award for Best Young Actress and was nominated for two other Young Artist Awards and a Soap Opera Digest...                 "
" Rachel Weisz
",Actress,The,"
    Rachel Hannah Weisz was born on 7 March, 1970, in London, U.K., to Edith Ruth (Teich), a psychoanalyst, and George Weisz, an inventor. Her parents both came to England around 1938. Her father is a Hungarian Jewish immigrant, and her mother, from Vienna, was of Italian and Austrian Jewish heritage. ...                 "
" Elizabeth Debicki
",Actress,The,"
    Debicki was born in Paris, to a Polish father and an Australian mother of Irish descent, who were both dancers. When she was five, the family moved to Melbourne, where she grew up with two younger siblings. She became interested in ballet at an early age and trained as a dancer until deciding to ...                 "
" Morena Baccarin
",Actress,Deadpool,"
    Morena Baccarin was born in Rio de Janeiro, Brazil, to actress Vera Setta and journalist Fernando Baccarin. Her uncle was actor Ivan Setta. Morena has Italian and Brazilian Portuguese ancestry. She moved to New York at the age of 10, when her father was transferred there. She attended the LaGuardia...                 "
" Gemma Chan
",Actress,Eternals,"
    Gemma Chan (born 29 November 1982) is a British film, television, and theatre actress and former fashion model. She played Charlotte in season four of the Showtime and ITV2 series Secret Diary of a Call Girl (2007); Ruth in Channel 4's Fresh Meat (2011); Mia Bennett in Doctor Who: The Waters of Mars...                 "
" Christina Hendricks
",Actress,Ginger,"
    Christina Rene Hendricks was born in Knoxville, Tennessee, and grew up in Twin Falls, Idaho. Her father, Robert, originally from England, worked for the U.S. Forest Service, while her mother, Jackie Sue (Raymond), was a psychologist. At the age of 13 her father transferred to the Forest Service ...                 "
" Sam Heughan
",Actor,Outlander,"
    Sam Roland Heughan was born April 30, 1980 in Balmaclellan, Dumfries and Galloway, Scotland. An accomplished stage and screen actor best known for his leading roles in Starz TV Series Outlander (2014-2021), A Princess for Christmas (2011), and A Very British Sex Scandal (2007). He attended the ...                 "
" Arsenio Hall
",Actor,Coming,"
    Arsenio Hall was born on February 12, 1956 in Cleveland, Ohio, USA. He is a producer and actor, known for Coming to America (1988), Coming 2 America (2021) and Black Dynamite (2009).                 "
" Linda Fiorentino
",Actress,The,"
    Linda Fiorentino born March 9, 1958 or 1960 is an American actress. She has starred in the films Vision Quest (1985), Gotcha! (1985), After Hours (1985), Jade (1995), Men in Black (1997) and Dogma (1999). For her performance in The Last Seduction (1994), she won the New York Film Critics Circle ...                 "
" Scarlett Johansson
",Actress,Lost,"
    Scarlett Ingrid Johansson was born on November 22, 1984 in Manhattan, New York City, New York. Her mother, Melanie Sloan is from a Jewish family from the Bronx and her father, Karsten Johansson is a Danish-born architect from Copenhagen. She has a sister, Vanessa Johansson, who is also an actress, ...                 "
" James Earl Jones
",Actor,Rogue,"
    Widely regarded as the one of greatest stage and screen actors both in his native USA and internationally, James Earl Jones was born on January 17, 1931 in Arkabutla, Mississippi. At an early age, he started to take dramatic lessons to calm himself down. It appeared to work as he has since starred ...                 "
" Aaron Taylor-Johnson
",Actor,Kick-Ass,"
    Aaron Taylor-Johnson is an English stage, television, and film actor.He was born Aaron Perry Johnson in High Wycombe, Buckinghamshire, to Sarah and Robert Johnson, a civil engineer. He has a sister, Gemma Johnson, who had a small role in his movie Tom & Thomas (2002). Aaron is of ...                 "
" Hannah John-Kamen
",Actress,Ant-Man,"
    Hannah Dominique E. John-Kamen is a British actress. She is known for her roles as Dutch in the Syfy television series Killjoys, Ornela in the HBO series Game of Thrones, F'Nale Zandor in Steven Spielberg's Ready Player One, and Ghost in Ant-Man and the Wasp.Hannah was born in Beverley, Yorkshire, ...                 "
" Ciara Bravo
",Actress,Cherry,"
    Ciara Bravo has become one of the few actresses working today to move easily between television and film. At only 23-years-old, Ciara's twelve-year acting career has brought her roles that range from the girl next door brainiac to the deeply troubled adolescent. Her finesse with subtle off-beat ...                 "
" Sebastian Stan
",Actor,Captain,"
    Sebastian Stan was born on August 13, 1982, in Constanta, Romania. He moved with his mother to Vienna, Austria, when he was eight, and then to New York when he was twelve. Stan studied at Rutgers Mason Gross School of the Arts and spent a year at Shakespeare's Globe Theatre in London.When he went ...                 "
" Wesley Snipes
",Actor,Blade,"
    Wesley Trent Snipes was born in Orlando, Florida, to Marian (Long), a teacher's assistant, and SMSGT Wesley Rudolph Snipes, an aircraft engineer. He grew up on the streets of the South Bronx in New York City, where he very early decided that dance and the theatre were to be his career. He attended ...                 "
" Mircea Monroe
",Actress,Tekken,"
    Mircea Monroe was born on March 11, 1982 in St. Louis, Missouri, USA. She is an actress and producer, known for Tekken (2010), Dumbbells (2014) and The Ultimate Gift (2006).                 "
" Cynthia Rothrock
",Actress,The,"
    Cynthia Rothrock is a martial arts expert and athlete, who went on to become a film actress, starring in a number of highly successful B action movies. She first made a name as an action actress in Hong Kong before going on to wow audiences in her home turf. At the time of her popularity, she was ...                 "
" Elle Fanning
",Actress,Super,"
    Mary Elle Fanning was born on the 9th of April 1998 in Conyers, Georgia, USA, to Heather Joy (Arrington) and Steven J. Fanning. Her mother played professional tennis, and her father, now an electronics salesman, played minor league baseball. She is of German, Irish, English, French, and Channel ...                 "
" Linda Cardellini
",Actress,Scooby-Doo,"
    Linda Edna Cardellini was born in Redwood City, California, to Lorraine (Hernan) and Wayne David Cardellini, a businessman. She is of Italian (from her paternal grandfather), Irish (from her mother), German, English, and Scottish descent. Linda grew up in the San Francisco Bay area, California, the...                 "
" Bella Thorne
",Actress,The,"
    Actress and singer Annabella Avery ""Bella"" Thorne, known for Shake It Up (2010), The Duff (2015), Blended (2014), and Midnight Sun (2018), was born in Pembroke Pines, Florida, to Tamara (Beckett) and Delancey Reinaldo ""Rey"" Thorne. She has three siblings, Remy Thorne, Dani Thorne and Kaili Thorne, ...                 "
" Nicolas Cage
",Actor,Face/Off,"
    Nicolas Cage was born Nicolas Kim Coppola in Long Beach, California, the son of comparative literature professor August Coppola (whose brother is director Francis Ford Coppola) and dancer/choreographer Joy Vogelsang. He is of Italian (father) and Polish and German (mother) descent. Cage changed his...                 "
" Katheryn Winnick
",Actress,Vikings,"
    Canadian actress, director and producer Katheryn Winnick stars in the critically acclaimed, Emmy award-winning television series Vikings, produced by MGM and The History Channel. In addition to her lead role on Vikings, an episode directed by Winnick debuted in 2020. Entertainment Weekly declared ...                 "
" Alan Tudyk
",Actor,Rogue,"
    Alan Tudyk was born in El Paso, Texas, and grew up in Plano, where he attended Plano Sr. High. In 1990, he went on to study drama at Lon Morris Jr. College. While there, he was awarded the Academic Excellence Award for Drama. He was also named Most Likely to Succeed and Sophomore Beau. During this ...                 "
" Daisy Ridley
",Actress,Star,"
    Daisy Jazz Isobel Ridley is an English actress. She is best known for her breakthrough role as ""Rey"" in the 2015 film, Star Wars: Episode VII - The Force Awakens (2015). Daisy was born in Westminster, London, on April 10, 1992. She is the daughter of Louise Fawkner-Corbett and Chris Ridley. Her ...                 "
" Hannah Waddingham
",Actress,How,"
    Hannah Waddingham was born in 1974 in London, England. She is an actress, known for How to Lose Friends & Alienate People (2008), Les Misérables (2012) and Ted Lasso (2020).                 "
" Jenna Fischer
",Actress,The,"
    Emmy-nominated actress Jenna Fischer, known for playing the character of receptionist Pam Beesly in The Office (2005), was born Regina Marie Fischer on March 7, 1974 in Fort Wayne, Indiana. She is the daughter of Anne (Miller), a teacher, and James E. Fischer, a plastic engineer. Her ancestry ...                 "
" Mary Elizabeth Winstead
",Actress,10,"
    Mary Elizabeth Winstead is an actress known for her versatile work in a variety of film and television projects. Possibly most known for her role as Ramona Flowers in Scott Pilgrim vs. the World (2010), she has also starred in critically acclaimed independent films such as Smashed (2012), for which...                 "
" Scott Porter
",Actor,Speed,"
    Scott Porter was born on July 14, 1979 in Omaha, Nebraska, USA as Matthew Scott Porter. He is an actor, known for Speed Racer (2008), Prom Night (2008) and The To Do List (2013). He has been married to Kelsey Mayfield since April 20, 2013. They have two children.                 "
" Thora Birch
",Actress,Ghost,"
    For some people, oatmeal starts the day off right - for Thora Birch, it launched a healthy career in front of the camera. It's hard to believe that the actress, who slunk into stardom with her turn as the disillusioned daughter in American Beauty (1999), is even related to the apple-cheeked blonde ...                 "
" Alexandra Daddario
",Actress,Baywatch,"
    Alexandra Anna Daddario was born on March 16, 1986 in New York City, New York, to Christina, a lawyer, and Richard Daddario, a prosecutor. Her brother is actor Matthew Daddario, her sister is actor Catharine Daddario, and her grandfather was congressman Emilio Daddario (Emilio Q. Daddario), of ...                 "
" Leonardo DiCaprio
",Actor,Inception,"
    Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings, as a supporting cast member of the sitcom Growing Pains (1985) and low budget horror movies, such as Critters 3 (1991), to a major teenage heartthrob in the 1990s,...                 "
" Tobias Menzies
",Actor,Casino,"
    Tobias was born in London. He graduated from the Royal Academy of Dramatic Art (RADA) in 1998 and began his acting career in popular UK series such as Foyle's War (2002), Midsomer Murders (1997), and Casualty (1986). He also appeared in the controversial drama A Very Social Secretary (2005). He is ...                 "
" Tom Cruise
",Actor,Top,"
    In 1976, if you had told fourteen-year-old Franciscan seminary student Thomas Cruise Mapother IV that one day in the not too distant future he would be Tom Cruise, one of the top 100 movie stars of all time, he would have probably grinned and told you that his ambition was to join the priesthood. ...                 "
" Tom Hardy
",Actor,Inception,"
    With his breakthrough performance as Eames in Christopher Nolan's sci-fi thriller Inception (2010), English actor Tom Hardy has been brought to the attention of mainstream audiences worldwide. However, the versatile actor has been steadily working on both stage and screen since his television debut...                 "
" Nasim Pedrad
",Actress,Aladdin,"
    Nasim Pedrad (born November 18, 1981) is an American actress and comedian best known for her five seasons as a cast member on Saturday Night Live (1975) from 2009 to 2014. She has since gone on to co-star in sitcoms such as Mulaney (2014), Scream Queens (2015), People of Earth (2016), and New Girl ...                 "
" Regé-Jean Page
",Actor,Bridgerton,"
    Regé-Jean Page's work is quickly establishing him as one the most exciting British acting talents of his generation.Regé gathered rave reviews in his break-out lead role as 'Chicken George' in the award winning event-series 'ROOTS', then went on to star in the Shondaland legal thriller 'For The ...                 "
" Brie Larson
",Actress,Room,"
    Brie Larson has built an impressive career as an acclaimed television actress, rising feature film star and emerging recording artist. A native of Sacramento, Brie started studying drama at the early age of 6, as the youngest student ever to attend the American Conservatory Theater in San Francisco...                 "
" Teyonah Parris
",Actress,Dear,"
    Teyonah Parris was born on September 22, 1987 in Hopkins, South Carolina, USA. She is an actress and producer, known for Dear White People (2014), Chi-Raq (2015) and If Beale Street Could Talk (2018).                 "
" Emmanuelle Chriqui
",Actress,Wrong,"
    Emmanuelle Chriqui was born in Montreal, Quebec, to Moroccan Jewish immigrants, Liliane (Benisty) and Albert Chriqui. Her family moved to Toronto when she was two years old. At the age of 10, Chriqui appeared in a McDonald's commercial. She moved to Vancouver, guest-starring in series such as Are ...                 "
" Carey Mulligan
",Actress,Never,"
    Carey Hannah Mulligan is a British actress. She was born May 28, 1985, in Westminster, London, England, to Nano (Booth), a university lecturer, and Stephen Mulligan, a hotel manager. Her mother is from Llandeilo, Wales, and Carey also has Irish and English ancestry.Her first major appearance was ...                 "
" Henry Cavill
",Actor,Man,"
    Henry William Dalgliesh Cavill was born on the Bailiwick of Jersey, a British Crown dependency in the Channel Islands. His mother, Marianne (Dalgliesh), a housewife, was also born on Jersey, and is of Irish, Scottish and English ancestry. Henry's father, Colin Richard Cavill, a stockbroker, is of ...                 "
" Chloe Bennet
",Actress,Agents,"
    Chloe Bennet is an American actress and singer. She is best known for ABC's Agents of S.H.I.E.L.D. (2013).Bennet was born Chloe Wang in Chicago, Illinois. Her father is Han Chinese and her mother is Caucasian American.At 15, she moved to China to pursue a singing career under her birth name, Chloe ...                 "
" Sharon Stone
",Actress,Basic,"
    Sharon Stone was born and raised in Meadville, a small town in Pennsylvania. Her strict father was a factory worker, and her mother was a homemaker. She was the second of four children. At the age of 15, she studied in Saegertown High School, Pennsylvania, and at that same age, entered Edinboro ...                 "
" Bryan Cranston
",Actor,Breaking,"
    Bryan Lee Cranston was born on March 7, 1956 in Hollywood, California, to Audrey Peggy Sell, a radio actress, and Joe Cranston, an actor and former amateur boxer. His maternal grandparents were German, and his father was of Irish, German, and Austrian-Jewish ancestry. He was raised in the Canoga ...                 "
" Keanu Reeves
",Actor,The,"
    Keanu Charles Reeves, whose first name means ""cool breeze over the mountains"" in Hawaiian, was born September 2, 1964 in Beirut, Lebanon. He is the son of Patricia Taylor, a showgirl and costume designer, and Samuel Nowlin Reeves, a geologist. Keanu's father was born in Hawaii, of British, ...                 "
" Tom Hanks
",Producer,Cast,"
    Thomas Jeffrey Hanks was born in Concord, California, to Janet Marylyn (Frager), a hospital worker, and Amos Mefford Hanks, an itinerant cook. His mother's family, originally surnamed ""Fraga"", was entirely Portuguese, while his father was of mostly English ancestry. Tom grew up in what he has ...                 "
" Emily Osment
",Actress,Hannah,"
    Emily Jordan Osment was born on March 10, 1992 in Los Angeles. She is the younger sister of The Sixth Sense star, Haley Joel Osment. Her father Eugene is also an actor of some renown. Following in their footsteps, Emily started her acting career performing in several commercials, including a radio ...                 "
" Jenna Ortega
",Actress,The,"
    Jenna Marie Ortega was born on September 27, 2002, in Coachella Valley, California. Jenna began acting at the age of nine and has portrayed the role of Harley, a creative engineering prodigy navigating life as the middle child in a family of seven children, in ""Stuck in the Middle,"" a Disney ...                 "
" Margot Robbie
",Actress,Suicide,"
    Margot Elise Robbie was born on July 2, 1990 in Dalby, Queensland, Australia to Scottish parents. Her mother, Sarie Kessler, is a physiotherapist, and her father, is Doug Robbie. She comes from a family of four children, having two brothers and one sister. She graduated from Somerset College in ...                 "
" Bel Powley
",Actress,The,"
    Bel Powley was born on March 7, 1992 in London, England. She is an actress, known for The Diary of a Teenage Girl (2015), The King of Staten Island (2020) and A Royal Night Out (2015).                 "
" Tyler Hoechlin
",Actor,Road,"
    Tyler Hoechlin was born on September 11, 1987 in Corona, California, USA as Tyler Lee Hoechlin. He is an actor, known for Road to Perdition (2002), Supergirl (2015) and Everybody Wants Some!! (2016).                 "
" Millie Bobby Brown
",Actress,Stranger,"
    Millie Bobby Brown (born 19 February 2004) is an English actress and model. She rose to prominence for her role as Eleven in the Netflix science fiction drama series Stranger Things (2016), for which she earned a Primetime Emmy Award nomination for Outstanding Supporting Actress in a Drama Series ...                 "
" Bree Turner
",Actress,Grimm,"
    As a child, Bree spent her time traveling the country with her family and her pro-football player father. During her teens, Turner's parents settled in Northern California where Bree first discovered a love for dance. In high school, she honed her talents in everything from ballet to jazz. When she...                 "
" Vanessa Bell Calloway
",Actress,Coming,"
    Vanessa Bell Calloway was born on March 20, 1957 in Cleveland, Ohio, USA as Vanessa Bell. She is an actress and director, known for Coming to America (1988), What's Love Got to Do with It (1993) and Daylight (1996). She has been married to Tony Calloway since September 3, 1988. They have two ...                 "
" Pedro Pascal
",Actor,The,"
    Pedro Pascal is a Chilean-born actor. He is best known for portraying the roles of Oberyn Martell in the fourth season of the HBO series Game of Thrones and Javier Peña in the Netflix series Narcos.In 2016 he starred in the American-Chinese film The Great Wall alongside Matt Damon.                 "
" Jennifer Robertson
",Actress,Schitt's,"
    Jennifer Robertson was born on November 17, 1971 in Vancouver, British Columbia, Canada. She is an actress and writer, known for Schitt's Creek (2015), Twitches (2005) and Comedy Inc. (2002).                 "
" Dakota Fanning
",Actress,War,"
    Hannah Dakota Fanning was born on the 23rd of February 1994, in Conyers, Georgia, USA, to Heather Joy (Arrington) and Steven Fanning. Her mother played professional tennis, and her father, now an electronics salesman, played minor league baseball. She is of German, Irish, English, French, and ...                 "
" Clint Smith
",Actor,Coming,"
    Clint Smith is known for his work on Coming to America (1988), The Firm (1993) and 48 Hrs. (1982).                 "
" Travis Fimmel
",Actor,Warcraft,"
    Travis Fimmel was born near Echuca, Victoria, Australia, to Jennie, a recreation officer for the disabled, and Chris, a cattle farmer. He was raised on a 5500-acre farm located between Melbourne and Sydney. Until the age of seventeen, his life was spent at school and working on the family farm, ...                 "
